search_word	similar_words
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
prostitutie	['bordelen', 'prostituees', 'mensenhandel', 'ontucht', 'koppelarij']
loverboy	['forsworn', 'brotherly', 'doofstom', 'itgirl', 'vickys']
jurisprudentie	['rechtsregels', 'wetgeving', 'wetsgeschiedenis', 'prorogatie', 'vehofhelvetia']
arbeidsuitbuiting	['arbeidsmarktfraude', 'familieplanning', 'baanzekerheid', 'souteneurschap', 'misdaadverwekkende']
loverboys	['vrouwenhandelaren', 'excliënten', 'straatroof', 'gedragsmoeilijkheden', 'potenrammers']
gewogen	['berekend', 'standaarddeviatie', 'standaarddeviaties', 'varianties', 'schoolgewichten']
risico	['risicos', 'pneumokokkenmeningitis', 'ovariumkanker', 'stolselvorming', 'foliumzuursuppletie']
op	['waarop', 'triatloncarrière', 'vierentachtigste', 'tweeëntachtigjarige', 'filmweek']
goede	['slechte', 'betere', 'goed', 'gunstige', 'moeilijke']
grond	['bodem', 'slempgevoelige', 'gronden', 'ziltige', 'sintbaafswijk']
cijfers	['volkstellingen', 'tienjaarlijkse', 'istat', 'steeg', 'periode']
monitor	['autoresponder', 'synchronisatiemechanisme', 'evcertificaten', 'gepusht', 'acars']
rapportage	['rapport', 'rapportages', 'koopkrachteffecten', 'aanbevelingen', 'rijksrecherche']
negende	['zevende', 'tiende', 'elfde', 'zesde', 'achtste']
seksueel	['seksuele', 'seks', 'misbruik', 'pedofilie', 'homoseksuele']
geweld	['oorlogstactiek', 'terreuractiviteiten', 'agressie', 'gewelddadige', 'cocaïnemaffia']
stage	['stages', 'radioopleiding', 'cursus', 'castingbureau', 'playerslasky']
vacature	['sollicitatie', 'bruegheliaans', 'bestuurscrisis', 'hoorzitting', 'beleggingsadviseur']
vacatures	['beslagleggingen', 'doorbelast', 'controlestructuur', 'kostenbewust', 'wajongers']
achtervolgen	['overmeesteren', 'redden', 'overbluffen', 'bedreigen', 'zuagir']
effectief	['effectiever', 'effectieve', 'efficiënt', 'afdoende', 'iproniazide']
preventief	['profylactisch', 'medicatie', 'vochttoediening', 'lamivudine', 'preventieve']
prostitutie	['bordelen', 'prostituees', 'mensenhandel', 'ontucht', 'koppelarij']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
rapportage	['rapport', 'rapportages', 'koopkrachteffecten', 'aanbevelingen', 'rijksrecherche']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
vacature	['sollicitatie', 'bruegheliaans', 'bestuurscrisis', 'hoorzitting', 'beleggingsadviseur']
vacatures	['beslagleggingen', 'doorbelast', 'controlestructuur', 'kostenbewust', 'wajongers']
vog	['eingetragene', 'inspanningsverbintenis', 'antifraudebeleid', 'bogin', 'advertentiefraude']
kinderporno	['kinderpornografie', 'misbruik', 'strafbare', 'oplichting', 'minderjarigen']
kinderpornografie	['kinderporno', 'minderjarigen', 'kindermisbruik', 'hoaxen', 'misbruik']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
gemeente	['färgelanda', 'aulumhaderup', 'karlebo', 'bystrovany', 'noordslovenië']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
in	['juniorafdeling', 'fahrenbach', 'van', 'studenteraad', 'stadsbediende']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
uit	['charilaidae', 'helicocercus', 'hispanacris', 'kakaduacris', 'aerotegmina']
beeld	['kunstwerk', 'beelden', 'oudtestamentaire', 'beeldje', 'hoofdeind']
bolhaar	['aalbersberg', 'beduin', 'emster', 'politiedistrictschef', 'oudpenningmeester']
grooming	['webcamseks', 'anorgasmie', 'privéinformatie', 'smerigs', 'familieplanning']
in	['juniorafdeling', 'fahrenbach', 'van', 'studenteraad', 'stadsbediende']
en	['terwijl', 'eveneens', 'maar', 'die', 'evenals']
uit	['charilaidae', 'helicocercus', 'hispanacris', 'kakaduacris', 'aerotegmina']
beeld	['kunstwerk', 'beelden', 'oudtestamentaire', 'beeldje', 'hoofdeind']
mensensmokkel	['loansharking', 'milieudelicten', 'afpersing', 'drugshandel', 'drugssmokkel']
op	['waarop', 'triatloncarrière', 'vierentachtigste', 'tweeëntachtigjarige', 'filmweek']
goede	['slechte', 'betere', 'goed', 'gunstige', 'moeilijke']
grond	['bodem', 'slempgevoelige', 'gronden', 'ziltige', 'sintbaafswijk']
slachtoffer	['slachtoffertje', 'mishandelen', 'onschuldige', 'homoclub', 'moorddoodslag']
mensenhandel	['vrouwenhandel', 'prostitutie', 'strafbaarstelling', 'strafbare', 'drugsdelicten']
uitbuiting	['armoede', 'achterstelling', 'onrechtvaardigheid', 'oppressie', 'discriminatie']
dader	['daderkennis', 'verdachte', 'schuldige', 'moordenaar', 'daders']
evaluatie	['evaluatiestudie', 'hypothesevorming', 'geëvalueerd', 'aanbevelingen', 'procedures']
factsheet	['tenderprocedure', 'kwaliteitskringen', 'toetsingscriteria', 'zorgzone', 'edex']
gemeenten	['borgomaro', 'lapedona', 'gemeentes', 'cicagna', 'gattico']
loverboy	['forsworn', 'brotherly', 'doofstom', 'itgirl', 'vickys']
negende	['zevende', 'tiende', 'elfde', 'zesde', 'achtste']
rapportage	['rapport', 'rapportages', 'koopkrachteffecten', 'aanbevelingen', 'rijksrecherche']
ontucht	['eerbaarheid', 'aanranding', 'ontuchtige', 'prostitutie', 'sodomie']
voor	['hubenthal', 'baraud', 'barsevskis', 'withaar', 'meschnigg']
de	['die', 'van', 'openhielden', 'en', 'vierentachtigste']
rechter	['rechtbank', 'wedzinga', 'changoe', 'rechtspreekt', 'seponeerde']
rapport	['onderzoeksrapport', 'eindrapport', 'rapporten', 'onderzoekscommissie', 'commissiedavids']
zevende	['zesde', 'vijfde', 'negende', 'achtste', 'tiende']
rapportage	['rapport', 'rapportages', 'koopkrachteffecten', 'aanbevelingen', 'rijksrecherche']
english	['golfing', 'huntyng', 'watercolours', 'exerted', 'reliques']
greta	['danielle', 'garbo', 'olivia', 'audrey', 'lili']
jaarplan	['villabelasting', 'premieloon', 'afbouwpercentage', 'eerovereenkomst', 'erfgoedwet']
seksuele	['seksueel', 'seksualiteit', 'geaardheid', 'homoseksuele', 'genderidentiteit']
